asset_id,asset_type,max_depth_m,hand_m,chainage_id,segment_length_m,parent_road_id,flooded,flooded_fraction,damage_fraction,expected_loss,return_period_years,scenario,hazard_depth_m,vulnerability,relative_risk,client_score_1_10,confidence,explanation
road_000000,road,3.6394129584040265e-29,293.55206298828125,road_000000_003,2014.3526905449107,road_000000,False,0.0,1.8197064792020133e-29,,100,historical_synthetic,3.6394129584040265e-29,1.8197064792020133e-29,1.8197064792020133e-29,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 293.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,5.097010332278599e-27,260.414306640625,road_000000_004,2014.3526905449107,road_000000,False,0.0,2.5485051661392995e-27,,100,historical_synthetic,5.097010332278599e-27,2.5485051661392995e-27,2.5485051661392995e-27,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 260.4 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,6.216121115284845e-24,226.85992431640625,road_000000_005,2014.3526905449107,road_000000,False,0.0,3.1080605576424224e-24,,100,historical_synthetic,6.216121115284845e-24,3.1080605576424224e-24,3.1080605576424224e-24,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 226.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,2.211516083796825e-18,152.86981201171875,road_000000_006,2014.3526905449107,road_000000,False,0.0,1.1057580418984126e-18,,100,historical_synthetic,2.211516083796825e-18,1.1057580418984126e-18,1.1057580418984126e-18,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 152.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,0.0,103.6983642578125,road_000000_007,2014.3526905449107,road_000000,False,0.0,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 103.7 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,0.0,83.41534423828125,road_000000_008,2014.3526905449107,road_000000,False,0.0,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 83.4 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,0.0,110.37225341796875,road_000000_009,2014.3526905449107,road_000000,False,0.0,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 110.4 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,2.8031197897779565e-18,156.81671142578125,road_000000_010,2014.3526905453764,road_000000,False,0.0,1.4015598948889783e-18,,100,historical_synthetic,2.8031197897779565e-18,1.4015598948889783e-18,1.4015598948889783e-18,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 156.8 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,6.000695191110128e-20,184.02740478515625,road_000000_011,2014.3526905449107,road_000000,False,0.0,3.000347595555064e-20,,100,historical_synthetic,6.000695191110128e-20,3.000347595555064e-20,3.000347595555064e-20,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 184.0 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,1.6748616242429534e-24,237.90582275390625,road_000000_012,2014.3526905449107,road_000000,False,0.0,8.374308121214767e-25,,100,historical_synthetic,1.6748616242429534e-24,8.374308121214767e-25,8.374308121214767e-25,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 237.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,3.342447182094159e-24,243.125,road_000000_013,2014.3526905449107,road_000000,False,0.0,1.6712235910470796e-24,,100,historical_synthetic,3.342447182094159e-24,1.6712235910470796e-24,1.6712235910470796e-24,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 243.1 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,5.1820912155294204e-21,193.05517578125,road_000000_014,2014.3526905449107,road_000000,False,0.0,2.5910456077647102e-21,,100,historical_synthetic,5.1820912155294204e-21,2.5910456077647102e-21,2.5910456077647102e-21,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 193.1 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,7.603535582283015e-16,137.243408203125,road_000000_015,2014.3526905449107,road_000000,False,0.0,3.8017677911415075e-16,,100,historical_synthetic,7.603535582283015e-16,3.8017677911415075e-16,3.8017677911415075e-16,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 137.2 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,4.734513644499871e-15,116.893310546875,road_000000_016,2014.3526905449107,road_000000,False,0.0,2.3672568222499353e-15,,100,historical_synthetic,4.734513644499871e-15,2.3672568222499353e-15,2.3672568222499353e-15,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 116.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,0.0,92.74041748046875,road_000000_017,2014.3526905449107,road_000000,False,0.0,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 92.7 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,0.0,70.8599853515625,road_000000_018,2014.3526905449107,road_000000,False,0.0,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 70.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,2.1011400167488007e-17,102.9525146484375,road_000000_019,2014.3526905449107,road_000000,False,0.0,1.0505700083744003e-17,,100,historical_synthetic,2.1011400167488007e-17,1.0505700083744003e-17,1.0505700083744003e-17,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 103.0 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,9.980936150014566e-18,145.55902099609375,road_000000_020,2014.3526905449107,road_000000,False,0.0,4.990468075007283e-18,,100,historical_synthetic,9.980936150014566e-18,4.990468075007283e-18,4.990468075007283e-18,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 145.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
